IRV4_LEVEL_ENTRY_MAX_CHASE_ATR,IRV4_LEVEL_ENTRY_VALIDITY_BARS,IRV4_RETEST_MIN_QUALITY,IRV4_TP_RR,avg_loss,avg_win,combo,days,end_date_utc,ending_equity,entry_execution,fee_bps_per_side,fold,max_drawdown,net_pnl,news_blocked_signals,phase,profit_factor,score,slippage_bps_per_side,starting_equity,strategies,summary_path,symbols,tag,trades,winrate
0.4,4,0.45,3.0,-0.3026,0.2677,31,120,2025-11-02,100.86,next_open,6.0000,1,0.7701,0.86,0,train,1.474,5.205375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135617_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c031_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c031_20260701_104508,16,0.625
0.6,4,0.45,3.0,-0.3026,0.2677,32,120,2025-11-02,100.86,next_open,6.0000,1,0.7701,0.86,0,train,1.474,5.205375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135639_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c032_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c032_20260701_104508,16,0.625
0.4,2,0.55,3.0,-0.2601,0.1628,33,120,2025-11-02,100.23,next_open,6.0000,1,0.2780,0.23,0,train,1.877,4.256500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135701_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c033_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c033_20260701_104508,4,0.750
0.6,2,0.55,3.0,-0.2601,0.1628,34,120,2025-11-02,100.23,next_open,6.0000,1,0.2780,0.23,0,train,1.877,4.256500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135722_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c034_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c034_20260701_104508,4,0.750
0.4,4,0.55,3.0,-0.2966,0.1628,35,120,2025-11-02,99.90,next_open,6.0000,1,0.3504,-0.10,0,train,0.823,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135744_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c035_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c035_20260701_104508,5,0.600
0.6,4,0.55,3.0,-0.2966,0.1628,36,120,2025-11-02,99.90,next_open,6.0000,1,0.3504,-0.10,0,train,0.823,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135806_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c036_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c036_20260701_104508,5,0.600
0.4,2,0.35,2.0,-0.3319,0.2687,,60,2026-01-01,100.62,next_open,6.0000,1,0.9975,0.62,0,oos,1.620,,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135827_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_oos_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_oos_20260701_104508,9,0.667
0.4,2,0.35,2.0,-0.3073,0.2431,1,120,2026-01-01,100.65,next_open,6.0000,2,0.9972,0.65,0,train,1.424,4.111500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135840_irv4_mechanics_gate_full_ada_doge_sui_20260701_f02_train_c001_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f02_train_c001_20260701_104508,14,0.643
0.6,2,0.35,2.0,-0.3073,0.2431,2,120,2026-01-01,100.65,next_open,6.0000,2,0.9972,0.65,0,train,1.424,4.111500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135902_irv4_mechanics_gate_full_ada_doge_sui_20260701_f02_train_c002_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f02_train_c002_20260701_104508,14,0.643
0.4,4,0.35,2.0,-0.3073,0.2314,3,120,2026-01-01,100.16,next_open,6.0000,2,0.9855,0.16,0,train,1.076,2.080125,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135922_irv4_mechanics_gate_full_ada_doge_sui_20260701_f02_train_c003_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f02_train_c003_20260701_104508,17,0.588
