trades,net_r,pf,win_rate,avg_r,tag,month
109,-32.4959,0.5437269991842214,0.4771,-0.2981,bos_short_rr1.0_sl1.0_h6_b0.1,2026-06
7,0.608,1.224926935740446,0.7143,0.0869,bos_short_rr1.0_sl1.0_h6_b0.1,2026-07
57,-21.4724,0.44940022872850544,0.4737,-0.3767,bos_short_rr1.0_sl1.0_h6_b0.2,2026-04
103,-37.9005,0.4608249695917831,0.4563,-0.368,bos_short_rr1.0_sl1.0_h6_b0.2,2026-05
102,-36.9166,0.4765288339782793,0.4412,-0.3619,bos_short_rr1.0_sl1.0_h6_b0.2,2026-06
7,0.5926,1.2192297732233361,0.7143,0.0847,bos_short_rr1.0_sl1.0_h6_b0.2,2026-07
59,-24.0677,0.5159926718269554,0.3898,-0.4079,bos_short_rr1.5_sl0.8_h12_b0.1,2026-04
104,-51.6486,0.4401084040217892,0.3462,-0.4966,bos_short_rr1.5_sl0.8_h12_b0.1,2026-05
107,-36.1562,0.583990224583745,0.3925,-0.3379,bos_short_rr1.5_sl0.8_h12_b0.1,2026-06
4,-0.4205,0.83238330609479,0.5,-0.1051,bos_short_rr1.5_sl0.8_h12_b0.1,2026-07
55,-21.9806,0.5193185794261721,0.4,-0.3996,bos_short_rr1.5_sl0.8_h12_b0.2,2026-04
102,-49.5602,0.4490960587628499,0.3529,-0.4859,bos_short_rr1.5_sl0.8_h12_b0.2,2026-05
100,-41.7701,0.5113539452488438,0.36,-0.4177,bos_short_rr1.5_sl0.8_h12_b0.2,2026-06
4,-0.4205,0.83238330609479,0.5,-0.1051,bos_short_rr1.5_sl0.8_h12_b0.2,2026-07
59,-22.2179,0.536206259511071,0.4068,-0.3766,bos_short_rr1.5_sl0.8_h6_b0.1,2026-04
104,-50.7869,0.4429813449328389,0.3558,-0.4883,bos_short_rr1.5_sl0.8_h6_b0.1,2026-05
109,-37.2099,0.5718910821715915,0.4128,-0.3414,bos_short_rr1.5_sl0.8_h6_b0.1,2026-06
5,1.7504,2.2292134831460673,0.8,0.3501,bos_short_rr1.5_sl0.8_h6_b0.1,2026-07
55,-19.8062,0.5489035866881667,0.4182,-0.3601,bos_short_rr1.5_sl0.8_h6_b0.2,2026-04
102,-49.9394,0.44488092697328635,0.3529,-0.4896,bos_short_rr1.5_sl0.8_h6_b0.2,2026-05
101,-42.5923,0.4986787915739271,0.3762,-0.4217,bos_short_rr1.5_sl0.8_h6_b0.2,2026-06
5,1.7311,2.2156601123595507,0.8,0.3462,bos_short_rr1.5_sl0.8_h6_b0.2,2026-07
53,-18.1499,0.5704236852880543,0.3962,-0.3425,bos_short_rr1.5_sl1.0_h12_b0.1,2026-04
92,-31.8163,0.5697470786864806,0.3804,-0.3458,bos_short_rr1.5_sl1.0_h12_b0.1,2026-05
