entry_ts,exit_ts,r,side,pair,mode,side_sleeve,cost
1746745200.0,1746759600.0,2.0985,short,EURJPY,standard_00_50,short,stress
1747008000.0,1747011600.0,-1.3839,short,EURJPY,standard_00_50,short,stress
1748325600.0,1748332800.0,-1.4621,short,EURJPY,standard_00_50,short,stress
1748343600.0,1748347200.0,-1.3439,short,EURJPY,standard_00_50,short,stress
1748473200.0,1748476800.0,-1.4398,short,EURJPY,standard_00_50,short,stress
1748998800.0,1749009600.0,-1.3947,short,EURJPY,standard_00_50,short,stress
1749132000.0,1749135600.0,-1.3094,short,EURJPY,standard_00_50,short,stress
1749560400.0,1749571200.0,-1.3747,short,EURJPY,standard_00_50,short,stress
1749722400.0,1749729600.0,-1.3651,short,EURJPY,standard_00_50,short,stress
1750644000.0,1750651200.0,-1.3784,short,EURJPY,standard_00_50,short,stress
1750658400.0,1750669200.0,-1.3349,short,EURJPY,standard_00_50,short,stress
1751439600.0,1751446800.0,-1.4858,short,EURJPY,standard_00_50,short,stress
1752541200.0,1752562800.0,-1.5065,short,EURJPY,standard_00_50,short,stress
1752588000.0,1752638400.0,-1.451,short,EURJPY,standard_00_50,short,stress
1753156800.0,1753164000.0,-1.5074,short,EURJPY,standard_00_50,short,stress
1753362000.0,1753369200.0,-1.3668,short,EURJPY,standard_00_50,short,stress
1753945200.0,1753952400.0,-1.2511,short,EURJPY,standard_00_50,short,stress
1754398800.0,1754406000.0,-1.4169,short,EURJPY,standard_00_50,short,stress
1754528400.0,1754535600.0,-1.423,short,EURJPY,standard_00_50,short,stress
1755471600.0,1755475200.0,-1.5073,short,EURJPY,standard_00_50,short,stress
1755478800.0,1755489600.0,-1.4865,short,EURJPY,standard_00_50,short,stress
1755824400.0,1755864000.0,-1.4546,short,EURJPY,standard_00_50,short,stress
1757937600.0,1757984400.0,-1.6349,short,EURJPY,standard_00_50,short,stress
1758236400.0,1758250800.0,1.9053,short,EURJPY,standard_00_50,short,stress
1758596400.0,1758610800.0,1.6766,short,EURJPY,standard_00_50,short,stress
1758672000.0,1758686400.0,-1.6353,short,EURJPY,standard_00_50,short,stress
1758816000.0,1758870000.0,-1.5144,short,EURJPY,standard_00_50,short,stress
1758895200.0,1758906000.0,-1.6265,short,EURJPY,standard_00_50,short,stress
1760922000.0,1760950800.0,2.111,short,EURJPY,standard_00_50,short,stress
1761019200.0,1761022800.0,-1.5357,short,EURJPY,standard_00_50,short,stress
1761044400.0,1761181200.0,-1.3033,short,EURJPY,standard_00_50,short,stress
1761206400.0,1761224400.0,-1.5519,short,EURJPY,standard_00_50,short,stress
1761282000.0,1761289200.0,-1.6822,short,EURJPY,standard_00_50,short,stress
1761516000.0,1761570000.0,-1.5663,short,EURJPY,standard_00_50,short,stress
1761760800.0,1761793200.0,-1.3096,short,EURJPY,standard_00_50,short,stress
1762848000.0,1762855200.0,-1.6468,short,EURJPY,standard_00_50,short,stress
1762923600.0,1762934400.0,-1.5977,short,EURJPY,standard_00_50,short,stress
1762981200.0,1763017200.0,-1.6164,short,EURJPY,standard_00_50,short,stress
