tag,market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,symbol,trades,net_r,pf,win_rate
bos_short_rr1.5_sl1.0_h12_b0.2_cd5,fx,bos,short,1.5,1.0,12,0.2,5,XAUUSD,296,-16.7853,0.9103028806769086,0.4189
bos_short_rr1.5_sl1.0_h12_b0.2_cd10,fx,bos,short,1.5,1.0,12,0.2,10,XAUUSD,259,-7.3871,0.9540473777749577,0.4286
bos_short_rr1.5_sl1.0_h12_b0.2_cd20,fx,bos,short,1.5,1.0,12,0.2,20,XAUUSD,212,12.3879,1.100134100592419,0.467
bos_short_rr2.0_sl0.8_h6_b0.1_cd0,fx,bos,short,2.0,0.8,6,0.1,0,XAUUSD,491,-61.7839,0.8184160578492624,0.3564
bos_short_rr2.0_sl0.8_h6_b0.1_cd5,fx,bos,short,2.0,0.8,6,0.1,5,XAUUSD,331,-47.2214,0.7940072815089282,0.3565
bos_short_rr2.0_sl0.8_h6_b0.1_cd10,fx,bos,short,2.0,0.8,6,0.1,10,XAUUSD,280,-38.1973,0.8028777750655788,0.3643
bos_short_rr2.0_sl0.8_h6_b0.1_cd20,fx,bos,short,2.0,0.8,6,0.1,20,XAUUSD,228,-26.7996,0.8305966059397002,0.3684
bos_short_rr2.0_sl0.8_h6_b0.2_cd0,fx,bos,short,2.0,0.8,6,0.2,0,XAUUSD,460,-63.7064,0.7995217958021501,0.3543
bos_short_rr2.0_sl0.8_h6_b0.2_cd5,fx,bos,short,2.0,0.8,6,0.2,5,XAUUSD,311,-53.3132,0.7551161394546184,0.3473
bos_short_rr2.0_sl0.8_h6_b0.2_cd10,fx,bos,short,2.0,0.8,6,0.2,10,XAUUSD,262,-36.1048,0.7990160331596158,0.3626
bos_short_rr2.0_sl0.8_h6_b0.2_cd20,fx,bos,short,2.0,0.8,6,0.2,20,XAUUSD,217,-28.3522,0.8116386959101198,0.3641
bos_short_rr2.0_sl0.8_h12_b0.1_cd0,fx,bos,short,2.0,0.8,12,0.1,0,XAUUSD,478,-49.497,0.8582157359708141,0.341
bos_short_rr2.0_sl0.8_h12_b0.1_cd5,fx,bos,short,2.0,0.8,12,0.1,5,XAUUSD,324,-36.1536,0.8480378661176678,0.3395
bos_short_rr2.0_sl0.8_h12_b0.1_cd10,fx,bos,short,2.0,0.8,12,0.1,10,XAUUSD,279,-21.3931,0.8937975117766407,0.3513
bos_short_rr2.0_sl0.8_h12_b0.1_cd20,fx,bos,short,2.0,0.8,12,0.1,20,XAUUSD,224,-9.9151,0.9376429590711757,0.3661
bos_short_rr2.0_sl0.8_h12_b0.2_cd0,fx,bos,short,2.0,0.8,12,0.2,0,XAUUSD,446,-45.7242,0.8594754107630964,0.3408
bos_short_rr2.0_sl0.8_h12_b0.2_cd5,fx,bos,short,2.0,0.8,12,0.2,5,XAUUSD,303,-37.3721,0.8332018184755761,0.3366
bos_short_rr2.0_sl0.8_h12_b0.2_cd10,fx,bos,short,2.0,0.8,12,0.2,10,XAUUSD,260,-15.8967,0.9148121056227645,0.3577
bos_short_rr2.0_sl0.8_h12_b0.2_cd20,fx,bos,short,2.0,0.8,12,0.2,20,XAUUSD,214,-11.2956,0.9261758300938259,0.3645
bos_short_rr2.0_sl1.0_h6_b0.1_cd0,fx,bos,short,2.0,1.0,6,0.1,0,XAUUSD,449,-27.4772,0.8994224989320787,0.3987
bos_short_rr2.0_sl1.0_h6_b0.1_cd5,fx,bos,short,2.0,1.0,6,0.1,5,XAUUSD,321,-24.0767,0.8736330899947041,0.4019
bos_short_rr2.0_sl1.0_h6_b0.1_cd10,fx,bos,short,2.0,1.0,6,0.1,10,XAUUSD,275,-19.5435,0.8830970270449721,0.4036
bos_short_rr2.0_sl1.0_h6_b0.1_cd20,fx,bos,short,2.0,1.0,6,0.1,20,XAUUSD,223,-10.7545,0.9193284030481854,0.4126
bos_short_rr2.0_sl1.0_h6_b0.2_cd0,fx,bos,short,2.0,1.0,6,0.2,0,XAUUSD,421,-29.7011,0.8832546150060611,0.3943
bos_short_rr2.0_sl1.0_h6_b0.2_cd5,fx,bos,short,2.0,1.0,6,0.2,5,XAUUSD,299,-27.2656,0.8476035465420769,0.3946
bos_short_rr2.0_sl1.0_h6_b0.2_cd10,fx,bos,short,2.0,1.0,6,0.2,10,XAUUSD,258,-18.0614,0.8841972981464027,0.3992
bos_short_rr2.0_sl1.0_h6_b0.2_cd20,fx,bos,short,2.0,1.0,6,0.2,20,XAUUSD,212,-12.4682,0.9021813491664993,0.4057
bos_short_rr2.0_sl1.0_h12_b0.1_cd0,fx,bos,short,2.0,1.0,12,0.1,0,XAUUSD,425,-14.3615,0.9501111439577393,0.3647
bos_short_rr2.0_sl1.0_h12_b0.1_cd5,fx,bos,short,2.0,1.0,12,0.1,5,XAUUSD,303,-5.2496,0.9741050389514554,0.3762
bos_short_rr2.0_sl1.0_h12_b0.1_cd10,fx,bos,short,2.0,1.0,12,0.1,10,XAUUSD,271,-8.9377,0.951172169496933,0.369
bos_short_rr2.0_sl1.0_h12_b0.1_cd20,fx,bos,short,2.0,1.0,12,0.1,20,XAUUSD,216,8.0413,1.05758931704669,0.3981
bos_short_rr2.0_sl1.0_h12_b0.2_cd0,fx,bos,short,2.0,1.0,12,0.2,0,XAUUSD,397,-11.5308,0.9568520738755,0.3678
bos_short_rr2.0_sl1.0_h12_b0.2_cd5,fx,bos,short,2.0,1.0,12,0.2,5,XAUUSD,280,2.1651,1.0117165811458881,0.3857
bos_short_rr2.0_sl1.0_h12_b0.2_cd10,fx,bos,short,2.0,1.0,12,0.2,10,XAUUSD,254,-7.947,0.9536740441154611,0.3701
bos_short_rr2.0_sl1.0_h12_b0.2_cd20,fx,bos,short,2.0,1.0,12,0.2,20,XAUUSD,206,6.3864,1.0474230463351915,0.3932
bos_short_rr2.5_sl0.8_h6_b0.1_cd0,fx,bos,short,2.5,0.8,6,0.1,0,XAUUSD,465,-35.8273,0.8887343329674924,0.3527
bos_short_rr2.5_sl0.8_h6_b0.1_cd5,fx,bos,short,2.5,0.8,6,0.1,5,XAUUSD,328,-38.2334,0.8329576707902895,0.3445
bos_short_rr2.5_sl0.8_h6_b0.1_cd10,fx,bos,short,2.5,0.8,6,0.1,10,XAUUSD,279,-32.3818,0.8353483982699831,0.3477
bos_short_rr2.5_sl0.8_h6_b0.1_cd20,fx,bos,short,2.5,0.8,6,0.1,20,XAUUSD,225,-27.3927,0.8296092408748226,0.3422
bos_short_rr2.5_sl0.8_h6_b0.2_cd0,fx,bos,short,2.5,0.8,6,0.2,0,XAUUSD,434,-44.806,0.8515089541698027,0.3456
bos_short_rr2.5_sl0.8_h6_b0.2_cd5,fx,bos,short,2.5,0.8,6,0.2,5,XAUUSD,307,-48.674,0.7771451280886694,0.329
bos_short_rr2.5_sl0.8_h6_b0.2_cd10,fx,bos,short,2.5,0.8,6,0.2,10,XAUUSD,261,-29.7388,0.8370781130758581,0.3448
bos_short_rr2.5_sl0.8_h6_b0.2_cd20,fx,bos,short,2.5,0.8,6,0.2,20,XAUUSD,214,-31.7306,0.7939907196943874,0.3364
