side,price,born_ts,max_size,dist_bps,fate,life_ms,eaten_frac,fwd_bps,fwd_10s,fwd_30s,fwd_60s,fwd_300s,fwd_900s
1,1883.04,1786492806798,58.87,11.350918839599892,ушла,1700,0.0,-2.286133536782975,-1.6481427823333838,-1.8608063671499142,-2.286133536782975,-2.339299432986275,1.4354791975135228
1,1883.02,1786492803343,115.69,8.318030460468385,ушла,5554,1.105,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
1,1883.01,1786492807000,83.06,11.191421150987374,ушла,1897,0.0,-2.286133536782975,-1.6481427823333838,-1.8608063671499142,-2.286133536782975,-2.339299432986275,1.4354791975135228
-1,1880.77,1786492803498,57.97,2.8437706804577383,съедена,5500,1.987,4.41183114912258,3.667666858909735,3.98659441185778,4.41183114912258,4.464985741279293,0.6910096980539127
-1,1879.81,1786492808498,122.33,5.502845795373115,ушла,500,0.0,1.9672009123550271,1.595027766773116,0.3190055533541791,1.9672009123550271,2.0203685045794284,-1.7545305434540914
-1,1880.81,1786492803343,92.5,3.4281978575091183,съедена,6256,1.577,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
1,1881.84,1786492803344,43.99,2.046288643629483,съедена,6255,2.354,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
1,1883.0,1786492803346,61.6,9.009703370799333,ушла,6253,0.993,-4.41183114912258,-3.667666858909735,-3.98659441185778,-4.41183114912258,-4.464985741279293,-0.21261836863240013
1,1883.01,1786492808998,83.06,11.56401279219046,ушла,601,0.0,-1.9140434966391506,-1.5418683722923099,-0.95702174831791,-1.9140434966391506,-1.9672113715440975,1.8077077468259262
1,1883.02,1786492809098,73.11,11.617180667097037,ушла,501,0.0,-1.9140434966391506,-1.5418683722923099,-0.95702174831791,-1.9140434966391506,-1.9672113715440975,1.8077077468259262
-1,1878.63,1786492809599,58.54,11.457981640643379,ушла,99,0.0,1.6482479390256266,1.2760629205343932,0.691200748621501,1.6482479390256266,1.701417227379931,-2.073602245873385
1,1883.02,1786492809698,73.11,11.88333594749069,ушла,199,0.0,-1.6482479390256266,-1.5950786506679915,-0.691200748621501,-1.6482479390256266,-1.701417227379931,2.073602245873385
1,1883.01,1786492809698,83.06,11.830166659135077,ушла,501,0.0,-1.6482479390256266,-1.5950786506679915,-0.691200748621501,-1.6482479390256266,-1.701417227379931,2.073602245873385
1,1880.79,1786492809599,121.34,0.02658464417841029,съедена,1000,0.745,-1.6482479390256266,-1.2760629205343932,-0.691200748621501,-1.6482479390256266,-1.701417227379931,2.073602245873385
1,1880.84,1786492808998,82.07,0.02658393745268333,съедена,1700,1.023,-1.9140434966391506,-1.5418683722923099,-0.95702174831791,-1.9140434966391506,-1.9672113715440975,1.8077077468259262
1,1880.91,1786492806798,97.54,0.02658294810148181,съедена,4000,1.273,-2.286133536782975,-1.6481427823333838,-1.8608063671499142,-2.286133536782975,-2.339299432986275,1.4354791975135228
1,1880.85,1786492808401,65.32,0.026583796113497603,съедена,2397,1.439,-1.9672009123550271,-1.595027766773116,-0.3190055533541791,-1.9672009123550271,-2.0203685045794284,1.7545305434540914
-1,1878.77,1786492808401,57.98,11.032275386859727,ушла,2397,0.005,1.9672009123550271,1.595027766773116,0.3190055533541791,1.9672009123550271,2.0203685045794284,-1.7545305434540914
-1,1878.7,1786492808401,95.33,11.404448532440233,ушла,2397,0.031,1.9672009123550271,1.595027766773116,0.3190055533541791,1.9672009123550271,2.0203685045794284,-1.7545305434540914
1,1881.06,1786492806598,53.84,0.026580828312352055,съедена,4300,0.999,-3.0833760841653124,-2.4454362046832934,-2.6580828311772997,-3.0833760841653124,-3.1365377407877038,0.6379398794842395
1,1881.0,1786492806700,106.76,0.4253237777254069,съедена,4198,1.0,-2.3658635136003525,-1.7278778470120049,-1.9405397358751575,-2.3658635136003525,-2.4190289858150305,1.355719541502598
-1,1878.86,1786492806700,351.27,10.952087276440107,ушла,4198,0.833,2.3658635136003525,1.7278778470120049,1.9405397358751575,2.3658635136003525,2.4190289858150305,-1.355719541502598
-1,1878.84,1786492806700,122.71,11.05841822087146,ушла,4198,0.0,2.3658635136003525,1.7278778470120049,1.9405397358751575,2.3658635136003525,2.4190289858150305,-1.355719541502598
