mid,spread_bps,imb1,imb5,imb20,depth_bid,depth_ask,slope,ts
63761.649999999994,0.015683408443562048,-0.35992896586327017,-0.40346445916898793,-0.48085402826909013,411770.6261000001,1174567.8933999995,0.777557998773666,1786505678685
63761.649999999994,0.015683408443562048,-0.35992896586327017,-0.4038650673642064,-0.47943103141482374,411770.6261000001,1170231.5712999995,0.7802132702650824,1786505679687
63761.649999999994,0.015683408443562048,-0.3567402158776036,-0.4159841253003509,-0.42654726635729595,477568.8608000001,1188022.1557999996,0.7559112435477098,1786505680687
63761.649999999994,0.015683408443562048,-0.35545198089355146,-0.41476610759836724,-0.4195320124257011,478525.2898000001,1170231.5754999996,0.7642866879409258,1786505681687
63761.649999999994,0.015683408443562048,-0.37706473668624657,-0.4352300253492444,-0.428060896299332,460480.7634000001,1149763.2657999997,0.7715187360869863,1786505682987
63761.649999999994,0.015683408443562048,-0.3619941711425831,-0.4091178500175271,-0.41036281331038754,473169.3090000002,1131781.3951999997,0.7660777348378823,1786505683987
63761.649999999994,0.015683408443562048,-0.3829507532989018,-0.42756612139189787,-0.42045125521740734,461692.23810000013,1131589.5772999995,0.7726488087676697,1786505684987
63761.649999999994,0.015683408443562048,-0.3833444527798596,-0.42950435821452737,-0.434235987540132,456591.2609000001,1157478.3894999996,0.7508861589087223,1786505686086
63761.649999999994,0.015683408443562048,-0.32531242188153325,-0.3802924296758514,-0.39806256237243626,457037.5813000001,1061517.5133999996,0.7350070665170712,1786505687087
63761.649999999994,0.015683408443562048,-0.3831430865627498,-0.439708661283154,-0.5013779993399748,388306.50160000013,1169212.0237999998,0.7950982276643936,1786505688186
63761.649999999994,0.015683408443562048,0.9158717249166876,0.8884867085454089,0.6451456334451428,578825.1975999998,124851.3473,0.7524430662602863,1786505689186
63761.649999999994,0.015683408443562048,0.9178800388261119,0.8882227957775405,0.6422236599930985,592980.2397999999,129187.21429999999,0.7519831548996971,1786505690188
63761.649999999994,0.015683408443562048,0.9185131011390747,0.8962347520555796,0.6515793994822565,592725.2263999998,125042.5377,0.7550823227336968,1786505691285
63761.649999999994,0.015683408443562048,0.608257210153367,0.5925004418733933,0.4432460503222389,585456.804,225848.79959999997,0.7965236885244164,1786505692287
63761.649999999994,0.015683408443562048,0.9190845680166422,0.8970171700431583,0.6538613336402024,597762.4055999999,125106.42679999999,0.7571632645756882,1786505693287
63761.649999999994,0.015683408443562048,0.9522437473847594,0.9293833823386652,0.7701947924211918,597762.4055999999,77601.01559999998,0.7968273425940173,1786505694386
63761.75,0.0156833838478117,0.9853159071305764,0.9782524282836906,0.8958191569168769,1082607.2630999999,59492.45579999999,0.8882311370123218,1786505695389
63764.55,0.015682695165032106,0.7354610232386617,0.7399009472766954,0.4950597019036688,1359769.617,459247.5302999999,0.6638947053316763,1786505696485
63764.55,0.015682695165032106,0.2599385386734198,0.2831878393960037,0.16862845096271392,777473.8391000001,553101.0557,0.7728466250331361,1786505697491
63764.55,0.015682695165032106,0.4097654663646599,0.3901627342970523,0.18613944649400732,807505.7498,554063.9243000001,0.6971357631238536,1786505698586
