entry_ts,exit_ts,r,side,mode,side_sleeve,cost
1724194800.0,1724198400.0,-1.1629,long,standard_00_50,long,base
1724630400.0,1724716800.0,2.4044,long,standard_00_50,long,base
1725336000.0,1725339600.0,-1.2188,long,standard_00_50,long,base
1725469200.0,1725480000.0,-1.1289,long,standard_00_50,long,base
1725537600.0,1725544800.0,2.3796,long,standard_00_50,long,base
1725634800.0,1725876000.0,2.4297,long,standard_00_50,long,base
1726192800.0,1726200000.0,-1.1147,long,standard_00_50,long,base
1726459200.0,1726466400.0,-1.1652,long,standard_00_50,long,base
1726801200.0,1726812000.0,-1.1374,long,standard_00_50,long,base
1727078400.0,1727085600.0,-1.1641,long,standard_00_50,long,base
1727445600.0,1727460000.0,-1.0602,long,standard_00_50,long,base
1728302400.0,1728306000.0,-1.1452,long,standard_00_50,long,base
1728352800.0,1728370800.0,-1.1572,long,standard_00_50,long,base
1729263600.0,1729267200.0,-1.2236,long,standard_00_50,long,base
1729753200.0,1729760400.0,-1.2012,long,standard_00_50,long,base
1729832400.0,1729872000.0,2.2634,long,standard_00_50,long,base
1730361600.0,1730397600.0,-1.1359,long,standard_00_50,long,base
1730962800.0,1730984400.0,-1.1699,long,standard_00_50,long,base
1731387600.0,1731420000.0,2.2479,long,standard_00_50,long,base
1731502800.0,1731513600.0,2.3198,long,standard_00_50,long,base
1731981600.0,1732003200.0,-1.1832,long,standard_00_50,long,base
1732150800.0,1732168800.0,-1.1844,long,standard_00_50,long,base
1732492800.0,1732496400.0,-1.1583,long,standard_00_50,long,base
1732626000.0,1732647600.0,-1.1351,long,standard_00_50,long,base
1732698000.0,1732716000.0,-1.1531,long,standard_00_50,long,base
1732719600.0,1732723200.0,-1.1213,long,standard_00_50,long,base
1732903200.0,1733104800.0,2.3769,long,standard_00_50,long,base
1733907600.0,1733922000.0,-1.1572,long,standard_00_50,long,base
1734008400.0,1734048000.0,2.3449,long,standard_00_50,long,base
