strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason,seasonality_kept
alt_trendline_touch_v1,ETHUSDT,short,1756580400000,1756600800000,4347.56031400,4403.26122105,0.00689904,-0.42050625,-0.003735,0.03622337,sl,att1_short_trendline tl=4370.5680 slope=-2.267%/d rsi=49.2+SL,1
alt_trendline_touch_v1,ADAUSDT,long,1756656000000,1756682400000,0.82646526,0.81405497,36.30642624,-0.48631016,-0.004335,0.03573686,sl,att1_long_trendline tl=0.8209 slope=1.487%/d rsi=40.0+SL,1
alt_trendline_touch_v1,SUIUSDT,short,1756724400000,1756745100000,3.28134360,3.21905230,9.14076782,0.53373911,0.004784,0.03565117,sl,att1_short_trendline tl=3.3002 slope=-0.550%/d rsi=47.5+TRAIL_SL,1
alt_trendline_touch_v1,DOTUSDT,short,1756728000000,1756759800000,3.76744636,3.66353232,7.96136086,0.79180077,0.007098,0.03549642,sl,att1_short_trendline tl=3.7987 slope=-1.013%/d rsi=45.4+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,long,1756738800000,1756759200000,200.19003000,196.50260998,0.14988758,-0.58837406,-0.005275,0.03567558,sl,att1_long_trendline tl=199.3516 slope=3.475%/d rsi=49.4+SL,1
alt_trendline_touch_v1,ADAUSDT,long,1756843200000,1756911600000,0.82026402,0.83762934,36.58090477,0.59885095,0.005332,0.03638834,sl,att1_long_trendline tl=0.8103 slope=3.945%/d rsi=49.9+TRAIL_SL,1
alt_trendline_touch_v1,ETHUSDT,short,1756879200000,1756905300000,4313.22718200,4389.99889376,0.00695396,-0.57018037,-0.005078,0.03631312,sl,att1_short_trendline tl=4346.7609 slope=-1.703%/d rsi=55.3+SL,1
alt_trendline_touch_v1,LINKUSDT,long,1756900800000,1756911600000,23.48669640,23.67070197,1.27757431,0.19893254,0.001772,0.03614825,sl,att1_long_trendline tl=23.4057 slope=3.390%/d rsi=50.9+TRAIL_SL,1
alt_trendline_touch_v1,LTCUSDT,long,1757113200000,1757231100000,112.32246000,113.74531019,0.26714159,0.34386719,0.003055,0.03623526,sl,att1_long_trendline tl=111.9331 slope=1.168%/d rsi=45.8+TRAIL_SL,1
alt_trendline_touch_v1,BTCUSDT,long,1757120400000,1757337600000,110756.74692000,112142.66757415,0.00027092,0.33923841,0.003015,0.03623248,sl,att1_long_trendline tl=110185.7587 slope=-0.180%/d rsi=38.8+TRAIL_SL,1
