pair,entry_day,exit_day,held_days,side,entry_z,exit_z,beta,ar1_phi,gross_bps,cost_bps,pnl_bps,reason
DOGEUSDT/ONDOUSDT,20380,20400,20,short_spread,1.788946,1.885021,1.094511,0.959584,-42.134979,32.0,-74.13497911140826,max_hold
1000PEPEUSDT/BTCUSDT,20381,20401,20,long_spread,-2.39171,-3.146013,0.739867,0.971728,-720.060357,32.0,-752.0603570276136,max_hold
ONDOUSDT/SOLUSDT,20381,20401,20,long_spread,-2.240841,-2.845552,0.394783,0.954974,-409.531619,32.0,-441.53161948893506,max_hold
1000PEPEUSDT/LTCUSDT,20383,20403,20,long_spread,-2.465444,-3.424697,0.314213,0.970996,-1259.473564,32.0,-1291.4735644585508,max_hold
AVAXUSDT/ETHUSDT,20383,20403,20,long_spread,-2.068587,-2.646283,0.379952,0.954447,-514.961376,32.0,-546.9613763774486,max_hold
AVAXUSDT/LINKUSDT,20383,20403,20,long_spread,-1.835382,-2.255885,0.602216,0.959659,-253.969828,32.0,-285.9698281661193,max_hold
DOGEUSDT/SUIUSDT,20383,20403,20,short_spread,1.689684,2.057894,0.815068,0.961417,-222.570782,32.0,-254.57078177729406,max_hold
DOTUSDT/LINKUSDT,20383,20403,20,long_spread,-2.626588,-2.101744,0.121241,0.952971,535.102123,32.0,503.1021228156387,max_hold
DOTUSDT/LTCUSDT,20383,20403,20,long_spread,-2.479825,-2.288531,0.301177,0.957936,162.831726,32.0,130.8317259435001,max_hold
DOTUSDT/SOLUSDT,20383,20403,20,long_spread,-2.693238,-2.025874,0.19698,0.956653,632.797643,32.0,600.7976433503893,max_hold
DOTUSDT/TAOUSDT,20383,20403,20,long_spread,-3.087548,-2.443009,0.468581,0.975161,455.468914,32.0,423.4689140538226,max_hold
DOTUSDT/XRPUSDT,20383,20403,20,long_spread,-2.495846,-2.113632,0.19901,0.950887,361.872082,32.0,329.8720819983058,max_hold
ETHUSDT/LTCUSDT,20383,20402,19,short_spread,2.181022,0.229219,1.899474,0.946324,1049.58637,32.0,1017.5863703243401,z_exit
AVAXUSDT/DOGEUSDT,20384,20404,20,long_spread,-1.653714,-1.550236,1.001715,0.899583,35.322728,32.0,3.322728057668037,max_hold
LTCUSDT/SOLUSDT,20384,20404,20,long_spread,-1.569705,0.859981,0.679325,0.948872,1116.890932,32.0,1084.890931691128,max_hold
LTCUSDT/ONDOUSDT,20388,20408,20,short_spread,1.511486,3.865758,0.806601,0.950224,-1096.216429,32.0,-1128.216429200921,max_hold
SUIUSDT/TAOUSDT,20388,20408,20,long_spread,-2.386303,-4.960025,0.441026,0.975276,-2270.747609,32.0,-2302.747609157609,max_hold
ADAUSDT/XRPUSDT,20389,20409,20,long_spread,-1.59457,-3.736691,0.787943,0.963914,-1005.034809,32.0,-1037.0348091794808,max_hold
AVAXUSDT/BNBUSDT,20389,20409,20,long_spread,-2.236011,-3.724451,0.442551,0.964775,-1435.704395,32.0,-1467.7043950622744,max_hold
ADAUSDT/LTCUSDT,20390,20410,20,long_spread,-1.77117,-5.754728,1.015377,0.926486,-1326.491968,32.0,-1358.4919678452586,max_hold
ADAUSDT/TAOUSDT,20391,20411,20,long_spread,-1.536957,-3.178314,0.090434,0.968166,-2178.70587,32.0,-2210.70587019009,max_hold
1000PEPEUSDT/XRPUSDT,20392,20412,20,long_spread,-2.371778,-4.055125,0.295636,0.976413,-2480.031481,32.0,-2512.0314805821113,max_hold
ADAUSDT/DOGEUSDT,20392,20412,20,long_spread,-1.502735,-3.913282,0.904914,0.930885,-731.153167,32.0,-763.1531669151342,max_hold
ADAUSDT/ETHUSDT,20392,20412,20,long_spread,-2.270832,-4.375155,0.372298,0.970251,-1666.497187,32.0,-1698.497187345044,max_hold
