ts,o,h,l,c,v
1614148800,1808.2915000000,1809.1535000000,1807.8915000000,1809.0315000000,0.51
1614149100,1809.0350000000,1809.1125000000,1808.3075000000,1809.0700000000,0.56
1614149400,1809.0750000000,1809.1650000000,1808.0165000000,1808.1215000000,0.50
1614149700,1808.1265000000,1808.7475000000,1808.0675000000,1808.3650000000,0.33
1614150000,1808.3050000000,1808.6815000000,1807.1450000000,1807.6325000000,0.73
1614150300,1807.6275000000,1808.3475000000,1807.2175000000,1807.9050000000,0.69
1614150600,1807.9150000000,1808.3765000000,1807.4300000000,1808.2000000000,0.46
1614150900,1808.1865000000,1808.7200000000,1807.8850000000,1808.3550000000,0.40
1614151200,1808.3450000000,1808.6150000000,1807.2800000000,1807.8000000000,0.37
1614151500,1807.7800000000,1807.7800000000,1807.3115000000,1807.6300000000,0.39
1614151800,1807.6150000000,1807.8975000000,1806.3165000000,1806.4900000000,0.45
1614152100,1806.5050000000,1806.6250000000,1805.6215000000,1806.5025000000,0.43
1614152400,1806.5060000000,1806.5325000000,1805.3025000000,1805.4125000000,0.45
1614152700,1805.4075000000,1806.0535000000,1804.8475000000,1805.1500000000,0.64
1614153000,1805.1550000000,1805.3990000000,1804.5050000000,1805.3135000000,0.47
1614153300,1805.2985000000,1806.4350000000,1805.2785000000,1806.0650000000,0.37
1614153600,1806.0700000000,1808.2950000000,1805.7850000000,1808.1250000000,0.84
1614153900,1808.1400000000,1808.9550000000,1807.8050000000,1807.9915000000,0.68
1614154200,1808.0015000000,1808.0450000000,1806.9285000000,1807.0635000000,0.45
1614154500,1807.0735000000,1809.1185000000,1806.9750000000,1808.5450000000,0.48
1614154800,1808.5385000000,1809.3850000000,1808.3600000000,1809.3735000000,0.49
1614155100,1809.4000000000,1809.5485000000,1807.5800000000,1807.7000000000,0.65
1614155400,1807.7100000000,1810.2250000000,1807.4450000000,1809.6585000000,0.74
1614155700,1809.6635000000,1809.8350000000,1808.7700000000,1808.9050000000,0.69
1614156000,1808.9200000000,1809.2200000000,1807.0975000000,1807.1200000000,0.73
1614156300,1807.1050000000,1808.0200000000,1806.9800000000,1807.1500000000,0.68
1614156600,1807.1700000000,1807.4650000000,1806.0400000000,1806.4600000000,0.60
1614156900,1806.4700000000,1806.4800000000,1805.5650000000,1806.0800000000,0.64
1614157200,1806.0750000000,1806.8350000000,1804.6100000000,1805.1100000000,0.77
1614157500,1805.1250000000,1806.3300000000,1805.0150000000,1805.9235000000,0.73
1614157800,1805.9335000000,1807.3900000000,1805.3600000000,1806.6200000000,0.93
1614158100,1806.5890000000,1808.0650000000,1806.5890000000,1807.7300000000,0.84
1614158400,1807.7650000000,1808.5885000000,1807.7550000000,1807.7900000000,0.58
1614158700,1807.7950000000,1808.2865000000,1805.8700000000,1806.0350000000,0.71
1614159000,1806.0200000000,1806.3200000000,1804.7500000000,1805.0450000000,0.52
