symbol,side,entry_ts,exit_ts,entry,exit,level,respect,touches,net_r,gross_r,fees_r,reason
1000PEPEUSDT,short,1781388000000,1781409600000,0.002863,0.0028282845714285715,0.002873,0.9,5,1.388875427969443,1.599999999999992,0.21112457203054913,tp
XLMUSDT,long,1781438400000,1781438400000,0.18374,0.1828748,0.1833,0.8,5,-1.3397873324086984,-1.0,0.33978733240869846,sl
XRPUSDT,short,1781488800000,1781488800000,1.1821,1.192373142857143,1.1878,1.0,4,-1.1841072421848904,-1.0,0.1841072421848904,sl
BCHUSDT,short,1781510400000,1781514000000,212.0,214.15257142857143,212.8,0.8333,3,-1.1575789753119188,-1.0,0.1575789753119189,sl
BCHUSDT,short,1781535600000,1781550000000,227.3,220.9283428571429,230.1,0.75,4,1.5086755632084956,1.6000000000000014,0.0913244367915057,tp
BTCUSDT,long,1781683200000,1781683200000,65505.9,65134.47085714286,65327.4,0.8,5,-1.282178827417187,-1.0,0.282178827417187,sl
BCHUSDT,long,1781841600000,1781938800000,194.6,200.6086857142857,192.8,0.8333,3,1.5170906877662784,1.599999999999997,0.0829093122337186,tp
AVAXUSDT,short,1782028800000,1782050400000,6.284,6.346582857142857,6.287,1.0,3,-1.1606574141709278,-1.0,0.1606574141709279,sl
ONDOUSDT,long,1782273600000,1782273600000,0.3088,0.3068308571428571,0.3079,1.0,3,-1.250911201392915,-1.0,0.25091120139291495,sl
DOGEUSDT,long,1782302400000,1782306000000,0.07898,0.07787554285714286,0.07824,0.8333,3,-1.1144163907284779,-1.0,0.11441639072847794,sl
1000PEPEUSDT,long,1782302400000,1782306000000,0.002656,0.002611022857142857,0.002619,0.75,4,-1.0944835471985765,-1.0,0.09448354719857659,sl
ATOMUSDT,long,1782626400000,1782702000000,1.5644,1.5886724571428572,1.5551,0.8333,3,1.435003766762097,1.6000000000000059,0.16499623323790896,tp
XLMUSDT,long,1782662400000,1782662400000,0.17085,0.17009588571428572,0.17051,1.0,3,-1.3624914753353035,-1.0,0.36249147533530346,sl
DOGEUSDT,long,1782676800000,1782680400000,0.07289,0.07251485714285714,0.07268,0.75,6,-1.3108789032749475,-1.0,0.31087890327494744,sl
ATOMUSDT,long,1782856800000,1782867600000,1.5099,1.4941217142857144,1.4989,1.0,3,-1.1531116905693184,-1.0,0.15311169056931848,sl
