trades,net_r,pf,win_rate,avg_r,tag,symbols,positive_symbols,years,positive_years,months,positive_months,worst_month_r,top_symbol_frac
85,-17.663,0.6322774730136259,0.5765,-0.2078,choch_short_rr1.0_sl0.8_h12_b0.2_cd0,4,1,1,0,4,1,-12.8257,0.4471
59,-17.9127,0.6101782333355096,0.4237,-0.3036,choch_short_rr1.5_sl0.8_h12_b0.1_cd5,4,1,1,0,4,1,-12.0851,0.4237
53,-18.16,0.4767354747991656,0.5094,-0.3426,choch_short_rr1.0_sl0.8_h12_b0.1_cd20,4,1,1,0,4,0,-8.6196,0.3962
49,-18.239,0.5134034810633145,0.4082,-0.3722,choch_short_rr1.5_sl0.8_h6_b0.2_cd20,4,0,1,0,4,0,-8.4662,0.3878
59,-18.4731,0.49092106604790103,0.5085,-0.3131,choch_short_rr1.0_sl0.8_h6_b0.1_cd5,4,0,1,0,4,0,-12.6371,0.4237
95,-18.5467,0.6339411714782526,0.5579,-0.1952,choch_short_rr1.0_sl0.8_h6_b0.1_cd0,4,1,1,0,4,0,-13.3944,0.4316
52,-18.597,0.5602412914911881,0.4038,-0.3576,choch_short_rr1.5_sl0.8_h12_b0.1_cd20,4,1,1,0,4,1,-11.8365,0.4038
97,-18.9583,0.6480842446033819,0.5361,-0.1954,bos_long_rr1.0_sl1.0_h12_b0.2_cd20,4,1,1,0,3,0,-8.0859,0.3196
50,-19.1087,0.4091639921092827,0.48,-0.3822,choch_short_rr1.0_sl0.8_h6_b0.2_cd20,4,0,1,0,4,0,-9.8355,0.38
55,-19.3411,0.4497615958851109,0.4909,-0.3517,choch_short_rr1.0_sl0.8_h6_b0.1_cd10,4,1,1,0,4,0,-11.2929,0.4
55,-19.3414,0.5319764698480607,0.4182,-0.3517,choch_short_rr1.5_sl0.8_h6_b0.1_cd10,4,1,1,0,4,0,-9.3313,0.4
103,-19.5003,0.7627839250262758,0.4272,-0.1893,bos_short_rr2.0_sl0.8_h6_b0.2_cd20,4,2,1,0,4,1,-8.8825,0.301
128,-20.2574,0.7601169964593176,0.4297,-0.1583,bos_long_rr2.0_sl1.0_h6_b0.1_cd10,4,1,1,0,4,1,-8.66,0.3438
59,-20.4983,0.5288840981749066,0.4068,-0.3474,choch_short_rr1.5_sl0.8_h6_b0.1_cd5,4,1,1,0,4,1,-10.1715,0.4237
52,-20.7388,0.4823220472676805,0.4038,-0.3988,choch_short_rr1.5_sl0.8_h6_b0.1_cd20,4,1,1,0,4,0,-9.4791,0.4038
53,-20.8108,0.4046947497296772,0.4717,-0.3927,choch_short_rr1.0_sl0.8_h6_b0.1_cd20,4,0,1,0,4,0,-11.2929,0.3962
106,-21.9233,0.6190425714926174,0.5283,-0.2068,bos_long_rr1.0_sl1.0_h6_b0.1_cd20,4,1,1,0,4,0,-7.8731,0.3208
98,-22.2,0.5901957092383179,0.5,-0.2265,bos_long_rr1.0_sl1.0_h6_b0.2_cd20,4,1,1,0,4,1,-8.4838,0.3163
93,-22.4067,0.5927135705794462,0.5591,-0.2409,choch_short_rr1.0_sl0.8_h12_b0.1_cd0,4,1,1,0,4,0,-12.9892,0.4409
103,-22.6237,0.6118055638966151,0.5146,-0.2196,bos_long_rr1.0_sl1.0_h12_b0.1_cd20,4,1,1,0,3,0,-9.2493,0.3107
57,-22.8825,0.5402341575932441,0.2982,-0.4014,choch_long_rr2.0_sl1.0_h12_b0.2_cd20,4,0,1,0,4,1,-12.2376,0.3158
102,-23.0493,0.6686719450769336,0.402,-0.226,bos_long_rr2.0_sl1.0_h6_b0.1_cd20,4,0,1,0,4,1,-10.263,0.3333
127,-23.4182,0.7502295782053757,0.3858,-0.1844,bos_short_rr2.0_sl1.0_h6_b0.2_cd10,4,1,1,0,4,1,-10.1053,0.315
