trades,net_r,pf,win_rate,avg_r,tag,symbol
30,-7.1063,0.6436283580817123,0.4,-0.2369,bos_long_rr1.5_sl1.0_h12_b0.1_cd10,EURUSD
32,-11.0236,0.5678595649429816,0.4062,-0.3445,bos_long_rr1.5_sl1.0_h12_b0.1_cd10,GBPUSD
41,-12.2898,0.5739779116605079,0.4146,-0.2998,bos_long_rr1.5_sl1.0_h12_b0.1_cd10,USDJPY
18,-2.3693,0.789485375128834,0.3889,-0.1316,bos_long_rr1.5_sl1.0_h12_b0.1_cd20,XAUUSD
31,-6.4305,0.6797559760956176,0.4516,-0.2074,bos_long_rr1.5_sl1.0_h12_b0.1_cd20,USDJPY
27,-7.1184,0.6444337883805614,0.4444,-0.2636,bos_long_rr1.5_sl1.0_h12_b0.1_cd20,GBPUSD
23,-12.6346,0.3358355280103873,0.2609,-0.5493,bos_long_rr1.5_sl1.0_h12_b0.1_cd20,EURUSD
25,0.1082,1.0074678887684885,0.44,0.0043,bos_long_rr1.5_sl1.0_h12_b0.1_cd5,XAUUSD
36,-9.0741,0.6636232206405694,0.4444,-0.2521,bos_long_rr1.5_sl1.0_h12_b0.1_cd5,GBPUSD
33,-11.2104,0.5323680686781214,0.3636,-0.3397,bos_long_rr1.5_sl1.0_h12_b0.1_cd5,EURUSD
52,-24.2713,0.43461762444967267,0.3654,-0.4668,bos_long_rr1.5_sl1.0_h12_b0.1_cd5,USDJPY
37,-2.401,0.8910236334835673,0.4324,-0.0649,bos_long_rr1.5_sl1.0_h12_b0.2_cd0,XAUUSD
51,-22.3983,0.471556243423443,0.3529,-0.4392,bos_long_rr1.5_sl1.0_h12_b0.2_cd0,GBPUSD
48,-24.4726,0.3984415712108549,0.3125,-0.5098,bos_long_rr1.5_sl1.0_h12_b0.2_cd0,EURUSD
65,-40.5611,0.31445603324865673,0.3077,-0.624,bos_long_rr1.5_sl1.0_h12_b0.2_cd0,USDJPY
21,-3.1027,0.7687434316933374,0.381,-0.1477,bos_long_rr1.5_sl1.0_h12_b0.2_cd10,XAUUSD
27,-6.3358,0.6499364605779324,0.4074,-0.2347,bos_long_rr1.5_sl1.0_h12_b0.2_cd10,EURUSD
30,-8.1239,0.6406482919082943,0.4333,-0.2708,bos_long_rr1.5_sl1.0_h12_b0.2_cd10,GBPUSD
38,-11.6713,0.5673883471034556,0.4211,-0.3071,bos_long_rr1.5_sl1.0_h12_b0.2_cd10,USDJPY
18,-2.3662,0.7897813591094447,0.3889,-0.1315,bos_long_rr1.5_sl1.0_h12_b0.2_cd20,XAUUSD
25,-4.1534,0.7586775899134276,0.48,-0.1661,bos_long_rr1.5_sl1.0_h12_b0.2_cd20,GBPUSD
21,-13.1848,0.28739670203163925,0.2381,-0.6278,bos_long_rr1.5_sl1.0_h12_b0.2_cd20,EURUSD
30,-13.7008,0.441264869846785,0.3667,-0.4567,bos_long_rr1.5_sl1.0_h12_b0.2_cd20,USDJPY
25,-3.6312,0.7666743773614003,0.4,-0.1452,bos_long_rr1.5_sl1.0_h12_b0.2_cd5,XAUUSD
