trades,net_r,pf,win_rate,avg_r,tag,month
5,1.7311,2.2156601123595507,0.8,0.3462,bos_short_rr1.5_sl0.8_h6_b0.2_cd0,2026-07
25,-11.0692,0.47277221827950333,0.4,-0.4428,bos_short_rr1.5_sl0.8_h6_b0.2_cd10,2026-04
53,-18.0307,0.5755065237146799,0.4151,-0.3402,bos_short_rr1.5_sl0.8_h6_b0.2_cd10,2026-05
49,-10.3647,0.7174006102033195,0.4694,-0.2115,bos_short_rr1.5_sl0.8_h6_b0.2_cd10,2026-06
3,0.3703,1.2600421348314608,0.6667,0.1234,bos_short_rr1.5_sl0.8_h6_b0.2_cd10,2026-07
20,-9.2477,0.443820968052348,0.4,-0.4624,bos_short_rr1.5_sl0.8_h6_b0.2_cd20,2026-04
43,-15.0204,0.570903335837759,0.4186,-0.3493,bos_short_rr1.5_sl0.8_h6_b0.2_cd20,2026-05
39,-8.6192,0.7117555781475735,0.4615,-0.221,bos_short_rr1.5_sl0.8_h6_b0.2_cd20,2026-06
2,-0.4842,0.6599719101123596,0.5,-0.2421,bos_short_rr1.5_sl0.8_h6_b0.2_cd20,2026-07
31,-18.1241,0.348550745474674,0.3226,-0.5846,bos_short_rr1.5_sl0.8_h6_b0.2_cd5,2026-04
64,-22.1634,0.5659698967182488,0.4062,-0.3463,bos_short_rr1.5_sl0.8_h6_b0.2_cd5,2026-05
62,-19.9233,0.5907174816038259,0.4032,-0.3213,bos_short_rr1.5_sl0.8_h6_b0.2_cd5,2026-06
3,0.3703,1.2600421348314608,0.6667,0.1234,bos_short_rr1.5_sl0.8_h6_b0.2_cd5,2026-07
53,-18.1499,0.5704236852880543,0.3962,-0.3425,bos_short_rr1.5_sl1.0_h12_b0.1_cd0,2026-04
92,-31.8163,0.5697470786864806,0.3804,-0.3458,bos_short_rr1.5_sl1.0_h12_b0.1_cd0,2026-05
97,-19.1968,0.7270479437738784,0.4227,-0.1979,bos_short_rr1.5_sl1.0_h12_b0.1_cd0,2026-06
4,-0.1364,0.9433319484835895,0.5,-0.0341,bos_short_rr1.5_sl1.0_h12_b0.1_cd0,2026-07
28,-7.6308,0.640295840973692,0.4286,-0.2725,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,2026-04
53,-13.4633,0.6623496808657379,0.4151,-0.254,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,2026-05
51,-7.7719,0.7882552630360096,0.451,-0.1524,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,2026-06
2,-0.2873,0.7854689366786142,0.5,-0.1436,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,2026-07
22,-2.2903,0.8427251002581991,0.5,-0.1041,bos_short_rr1.5_sl1.0_h12_b0.1_cd20,2026-04
42,-7.0536,0.7640668169624639,0.4524,-0.1679,bos_short_rr1.5_sl1.0_h12_b0.1_cd20,2026-05
40,0.6272,1.024780914902528,0.525,0.0157,bos_short_rr1.5_sl1.0_h12_b0.1_cd20,2026-06
2,-0.2873,0.7854689366786142,0.5,-0.1436,bos_short_rr1.5_sl1.0_h12_b0.1_cd20,2026-07
33,-13.0192,0.5114471733868698,0.3939,-0.3945,bos_short_rr1.5_sl1.0_h12_b0.1_cd5,2026-04
64,-22.7917,0.5572725047688238,0.375,-0.3561,bos_short_rr1.5_sl1.0_h12_b0.1_cd5,2026-05
64,-4.3944,0.896465443716161,0.4688,-0.0687,bos_short_rr1.5_sl1.0_h12_b0.1_cd5,2026-06
2,-0.2873,0.7854689366786142,0.5,-0.1436,bos_short_rr1.5_sl1.0_h12_b0.1_cd5,2026-07
48,-16.5746,0.5689445322902796,0.3958,-0.3453,bos_short_rr1.5_sl1.0_h12_b0.2_cd0,2026-04
91,-30.8218,0.5765968728793303,0.3846,-0.3387,bos_short_rr1.5_sl1.0_h12_b0.2_cd0,2026-05
91,-19.8967,0.7025112810284351,0.4176,-0.2186,bos_short_rr1.5_sl1.0_h12_b0.2_cd0,2026-06
4,-0.1364,0.9433319484835895,0.5,-0.0341,bos_short_rr1.5_sl1.0_h12_b0.2_cd0,2026-07
