IRV4_LEVEL_ENTRY_MAX_CHASE_ATR,IRV4_LEVEL_ENTRY_VALIDITY_BARS,IRV4_RETEST_MIN_QUALITY,IRV4_TP_RR,avg_loss,avg_win,combo,days,end_date_utc,ending_equity,entry_execution,fee_bps_per_side,fold,max_drawdown,net_pnl,news_blocked_signals,phase,profit_factor,score,slippage_bps_per_side,starting_equity,strategies,summary_path,symbols,tag,trades,winrate
0.4,4,0.45,3.0,-0.2649,0.2365,31,120,2025-11-02,101.32,next_open,6.0000,1,1.1476,1.32,0,train,1.414,6.593500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080947_irv4_wide_gate_20260702_f01_train_c031_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c031_20260702_044439,31,0.613
0.6,4,0.45,3.0,-0.2649,0.2365,32,120,2025-11-02,101.32,next_open,6.0000,1,1.1476,1.32,0,train,1.414,6.593500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_081036_irv4_wide_gate_20260702_f01_train_c032_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c032_20260702_044439,31,0.613
0.4,2,0.55,3.0,-0.2769,0.1902,33,120,2025-11-02,100.03,next_open,6.0000,1,0.8343,0.03,0,train,1.030,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_081124_irv4_wide_gate_20260702_f01_train_c033_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c033_20260702_044439,10,0.600
0.6,2,0.55,3.0,-0.2769,0.1902,34,120,2025-11-02,100.03,next_open,6.0000,1,0.8343,0.03,0,train,1.030,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_081213_irv4_wide_gate_20260702_f01_train_c034_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c034_20260702_044439,10,0.600
0.4,4,0.55,3.0,-0.2882,0.1669,35,120,2025-11-02,99.73,next_open,6.0000,1,0.8340,-0.27,0,train,0.811,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_081302_irv4_wide_gate_20260702_f01_train_c035_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c035_20260702_044439,12,0.583
0.6,4,0.55,3.0,-0.2882,0.1669,36,120,2025-11-02,99.73,next_open,6.0000,1,0.8340,-0.27,0,train,0.811,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_081351_irv4_wide_gate_20260702_f01_train_c036_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c036_20260702_044439,12,0.583
0.4,2,0.35,2.0,-0.3093,0.2474,,60,2026-01-01,100.06,next_open,6.0000,1,1.4725,0.06,0,oos,1.029,,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_081439_irv4_wide_gate_20260702_f01_oos_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_oos_20260702_044439,16,0.562
0.4,2,0.35,2.0,-0.2958,0.2658,1,120,2026-01-01,100.73,next_open,6.0000,2,1.5848,0.73,0,train,1.226,3.701000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_081505_irv4_wide_gate_20260702_f02_train_c001_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f02_train_c001_20260702_044439,26,0.577
0.6,2,0.35,2.0,-0.2958,0.2658,2,120,2026-01-01,100.73,next_open,6.0000,2,1.5848,0.73,0,train,1.226,3.701000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_081554_irv4_wide_gate_20260702_f02_train_c002_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f02_train_c002_20260702_044439,26,0.577
0.4,4,0.35,2.0,-0.2975,0.2571,3,120,2026-01-01,100.25,next_open,6.0000,2,1.4698,0.25,0,train,1.064,2.200750,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_081642_irv4_wide_gate_20260702_f02_train_c003_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f02_train_c003_20260702_044439,29,0.552
