market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,trades,net_r,pf,win_rate,symbols,positive_symbols,top_symbol_frac,preflight_go,preflight_reasons
fx,bos,long,2.0,0.8,12,0.2,0,202,-120.3418,0.39819892443543864,0.2673,4,0,0.3366,False,low_quality_pf_0.40<0.80
fx,bos,long,2.0,0.8,12,0.2,5,139,-65.9645,0.4835326586936523,0.3094,4,0,0.3525,False,low_quality_pf_0.48<0.80
fx,bos,long,2.0,0.8,12,0.2,10,118,-44.0805,0.5685180309062094,0.339,4,0,0.3475,False,low_quality_pf_0.57<0.80
fx,bos,long,2.0,0.8,12,0.2,20,95,-45.3128,0.48139500814883995,0.3053,4,0,0.3263,False,low_quality_pf_0.48<0.80
fx,bos,long,2.0,1.0,6,0.1,0,204,-74.3834,0.5164945310737842,0.3382,4,0,0.348,False,low_quality_pf_0.52<0.80
fx,bos,long,2.0,1.0,6,0.1,5,149,-35.9335,0.6557328831694399,0.3826,4,0,0.3624,False,low_quality_pf_0.66<0.80
fx,bos,long,2.0,1.0,6,0.1,10,128,-20.2574,0.7601169964593176,0.4297,4,1,0.3438,False,low_quality_pf_0.76<0.80
fx,bos,long,2.0,1.0,6,0.1,20,102,-23.0493,0.6686719450769336,0.402,4,0,0.3333,False,low_quality_pf_0.67<0.80
fx,bos,long,2.0,1.0,6,0.2,0,191,-75.0349,0.48503274697837656,0.3194,4,0,0.3298,False,low_quality_pf_0.49<0.80
fx,bos,long,2.0,1.0,6,0.2,5,139,-35.639,0.6328673309715588,0.3669,4,1,0.3597,False,low_quality_pf_0.63<0.80
fx,bos,long,2.0,1.0,6,0.2,10,120,-27.2508,0.6703338180392878,0.3917,4,0,0.3417,False,low_quality_pf_0.67<0.80
fx,bos,long,2.0,1.0,6,0.2,20,95,-28.1074,0.581590668206881,0.3579,4,0,0.3263,False,low_quality_pf_0.58<0.80
fx,bos,long,2.0,1.0,12,0.1,0,190,-81.3689,0.49785829378124546,0.3105,4,0,0.3368,False,low_quality_pf_0.50<0.80
fx,bos,long,2.0,1.0,12,0.1,5,143,-50.24,0.5662987169382623,0.3357,4,0,0.3636,False,low_quality_pf_0.57<0.80
fx,bos,long,2.0,1.0,12,0.1,10,119,-26.5471,0.697966999147844,0.3782,4,0,0.3193,False,low_quality_pf_0.70<0.80
fx,bos,long,2.0,1.0,12,0.1,20,97,-33.9096,0.5613474076373797,0.3196,4,0,0.3196,False,low_quality_pf_0.56<0.80
fx,bos,long,2.0,1.0,12,0.2,0,181,-86.2084,0.4590153029783891,0.2928,4,0,0.3315,False,low_quality_pf_0.46<0.80
fx,bos,long,2.0,1.0,12,0.2,5,133,-48.1391,0.5527278166874481,0.3308,4,0,0.3534,False,low_quality_pf_0.55<0.80
fx,bos,long,2.0,1.0,12,0.2,10,113,-27.5899,0.6733280052097209,0.3717,4,0,0.3274,False,low_quality_pf_0.67<0.80
fx,bos,long,2.0,1.0,12,0.2,20,92,-32.3639,0.5627829376203182,0.3261,4,0,0.3261,False,low_quality_pf_0.56<0.80
fx,bos,short,1.0,0.8,6,0.1,0,317,-134.4013,0.4142810325637421,0.4637,4,1,0.3533,False,low_quality_pf_0.41<0.80
fx,bos,short,1.0,0.8,6,0.1,5,172,-51.2959,0.5356664714439212,0.5291,4,1,0.343,False,low_quality_pf_0.54<0.80
fx,bos,short,1.0,0.8,6,0.1,10,141,-49.0408,0.4849964609836575,0.5106,4,1,0.3333,False,low_quality_pf_0.48<0.80
fx,bos,short,1.0,0.8,6,0.1,20,107,-38.9682,0.4688361289900469,0.5047,4,1,0.3178,False,low_quality_pf_0.47<0.80
fx,bos,short,1.0,0.8,6,0.2,0,299,-142.9813,0.36628365396335044,0.4415,4,0,0.3545,False,low_quality_pf_0.37<0.80
fx,bos,short,1.0,0.8,6,0.2,5,164,-67.2883,0.4220479379929122,0.4756,4,1,0.3354,False,low_quality_pf_0.42<0.80
fx,bos,short,1.0,0.8,6,0.2,10,134,-56.7498,0.412498149492055,0.4776,4,1,0.3209,False,low_quality_pf_0.41<0.80
fx,bos,short,1.0,0.8,6,0.2,20,104,-48.0022,0.3821363202240683,0.4615,4,1,0.3077,False,low_quality_pf_0.38<0.80
fx,bos,short,1.0,0.8,12,0.1,0,315,-136.8888,0.4092151845414914,0.4635,4,1,0.3524,False,low_quality_pf_0.41<0.80
fx,bos,short,1.0,0.8,12,0.1,5,170,-50.0143,0.542248036119117,0.5353,4,1,0.3412,False,low_quality_pf_0.54<0.80
fx,bos,short,1.0,0.8,12,0.1,10,140,-49.3953,0.48127366782813613,0.5071,4,1,0.3357,False,low_quality_pf_0.48<0.80
fx,bos,short,1.0,0.8,12,0.1,20,107,-37.8019,0.4805133589307359,0.514,4,1,0.3178,False,low_quality_pf_0.48<0.80
fx,bos,short,1.0,0.8,12,0.2,0,297,-144.5093,0.3651896818553016,0.4411,4,0,0.3535,False,low_quality_pf_0.37<0.80
fx,bos,short,1.0,0.8,12,0.2,5,162,-65.7142,0.43181478224705444,0.4815,4,1,0.3333,False,low_quality_pf_0.43<0.80
fx,bos,short,1.0,0.8,12,0.2,10,133,-56.3888,0.4162353991040953,0.4737,4,1,0.3233,False,low_quality_pf_0.42<0.80
fx,bos,short,1.0,0.8,12,0.2,20,104,-46.1204,0.40176873607230595,0.4712,4,1,0.3077,False,low_quality_pf_0.40<0.80
fx,bos,short,1.0,1.0,6,0.1,0,282,-90.9386,0.5114247983400866,0.4787,4,1,0.3652,False,low_quality_pf_0.51<0.80
fx,bos,short,1.0,1.0,6,0.1,5,169,-47.4091,0.5549933027144891,0.4911,4,1,0.3373,False,low_quality_pf_0.55<0.80
fx,bos,short,1.0,1.0,6,0.1,10,137,-36.2298,0.5766443828240301,0.5109,4,1,0.3358,False,low_quality_pf_0.58<0.80
fx,bos,short,1.0,1.0,6,0.1,20,107,-23.7004,0.6305183568477668,0.5421,4,1,0.3178,False,low_quality_pf_0.63<0.80
fx,bos,short,1.0,1.0,6,0.2,0,269,-95.6969,0.47568370156286377,0.461,4,1,0.3606,False,low_quality_pf_0.48<0.80
fx,bos,short,1.0,1.0,6,0.2,5,161,-55.8989,0.4809956166942577,0.4596,4,1,0.3292,False,low_quality_pf_0.48<0.80
fx,bos,short,1.0,1.0,6,0.2,10,130,-40.7279,0.520755769348439,0.4923,4,1,0.3231,False,low_quality_pf_0.52<0.80
fx,bos,short,1.0,1.0,6,0.2,20,104,-28.5961,0.5626671764480979,0.5192,4,1,0.3077,False,low_quality_pf_0.56<0.80
fx,bos,short,1.0,1.0,12,0.1,0,280,-94.6726,0.5045021186440678,0.475,4,1,0.3643,False,low_quality_pf_0.50<0.80
fx,bos,short,1.0,1.0,12,0.1,5,167,-45.5532,0.572760644593715,0.509,4,1,0.3353,False,low_quality_pf_0.57<0.80
fx,bos,short,1.0,1.0,12,0.1,10,135,-35.8429,0.5792118844241163,0.5111,4,1,0.3333,False,low_quality_pf_0.58<0.80
fx,bos,short,1.0,1.0,12,0.1,20,107,-23.7004,0.6332240761890613,0.5421,4,1,0.3178,False,low_quality_pf_0.63<0.80
fx,bos,short,1.0,1.0,12,0.2,0,267,-98.4529,0.4735944128331175,0.4607,4,1,0.3596,False,low_quality_pf_0.47<0.80
fx,bos,short,1.0,1.0,12,0.2,5,159,-53.6872,0.502217376106486,0.478,4,1,0.327,False,low_quality_pf_0.50<0.80
fx,bos,short,1.0,1.0,12,0.2,10,128,-39.2527,0.5321517750192192,0.4922,4,1,0.3203,False,low_quality_pf_0.53<0.80
fx,bos,short,1.0,1.0,12,0.2,20,104,-28.1936,0.5719207357346643,0.5192,4,1,0.3077,False,low_quality_pf_0.57<0.80
fx,bos,short,1.5,0.8,6,0.1,0,277,-108.4643,0.5230701176975481,0.3971,4,1,0.343,False,low_quality_pf_0.52<0.80
fx,bos,short,1.5,0.8,6,0.1,5,168,-50.8263,0.6063803093736786,0.4226,4,1,0.3393,False,low_quality_pf_0.61<0.80
fx,bos,short,1.5,0.8,6,0.1,10,137,-36.4897,0.6532896893453877,0.4453,4,1,0.3285,False,low_quality_pf_0.65<0.80
fx,bos,short,1.5,0.8,6,0.1,20,107,-26.505,0.6750412558450889,0.4579,4,1,0.3178,False,low_quality_pf_0.68<0.80
fx,bos,short,1.5,0.8,6,0.2,0,263,-110.6068,0.497818185945676,0.384,4,1,0.3384,False,low_quality_pf_0.50<0.80
fx,bos,short,1.5,0.8,6,0.2,5,160,-59.8405,0.5360769994107979,0.3937,4,1,0.3312,False,low_quality_pf_0.54<0.80
fx,bos,short,1.5,0.8,6,0.2,10,130,-39.0943,0.6151044784348318,0.4385,4,1,0.3154,False,low_quality_pf_0.62<0.80
fx,bos,short,1.5,0.8,6,0.2,20,104,-33.3715,0.5977316314341061,0.4327,4,1,0.3077,False,low_quality_pf_0.60<0.80
fx,bos,short,1.5,0.8,12,0.1,0,274,-112.293,0.5147108395204716,0.3759,4,1,0.3431,False,low_quality_pf_0.51<0.80
fx,bos,short,1.5,0.8,12,0.1,5,165,-50.9589,0.609856541092272,0.4182,4,1,0.3333,False,low_quality_pf_0.61<0.80
fx,bos,short,1.5,0.8,12,0.1,10,136,-35.8867,0.6590191504624902,0.4412,4,1,0.3309,False,low_quality_pf_0.66<0.80
fx,bos,short,1.5,0.8,12,0.1,20,107,-25.4136,0.688422126374071,0.4579,4,1,0.3178,False,low_quality_pf_0.69<0.80
fx,bos,short,1.5,0.8,12,0.2,0,261,-113.7314,0.4915432609858029,0.3678,4,1,0.3372,False,low_quality_pf_0.49<0.80
fx,bos,short,1.5,0.8,12,0.2,5,157,-56.509,0.5583081127049436,0.4013,4,1,0.3248,False,low_quality_pf_0.56<0.80
